gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000262772.1	LINC01977	0.028863022	6	1	0.027988208	mashr_Pituitary	0.113859511	mashr_Brain_Nucleus_accumbens_basal_ganglia	4.204894641	6.18E-17	4.204894641	1.581081033	2.197451618	1.846210126	0.234367141	1	0
ENSG00000143412.9	ANXA9	0.028901003	11	1	0.003503811	mashr_Brain_Hippocampus	0.578651772	mashr_Spleen	6.848995407	3.02E-17	6.848995407	-2.919688819	-0.555355137	-1.715549772	1.059587321	1	0
ENSG00000188060.7	RAB42	0.028904797	6	1	0.028904797	mashr_Pituitary	0.028904797	mashr_Brain_Nucleus_accumbens_basal_ganglia	6	4.18E-48	6	-2.184782505	2.184782505	-1.45652167	1.783867445	1	0
ENSG00000106263.17	EIF3B	0.028908896	11	1	0.009947897	mashr_Spleen	0.099774482	mashr_Brain_Hypothalamus	10.36381326	1.39E-17	10.36381326	-2.577635167	-1.645947919	-2.118414407	0.357694957	1	0
ENSG00000120322.3	PCDHB8	0.028919601	2	1	0.053578033	mashr_Brain_Cortex	0.056358022	mashr_Spleen	1.543670107	0.456329893	1.543670107	-1.930232525	-1.908256888	-1.919244707	0.015539122	1	0
ENSG00000176909.11	MAMSTR	0.028928706	11	1	0.013305812	mashr_Spleen	0.851726581	mashr_Brain_Putamen_basal_ganglia	4.989691219	6.32E-17	4.989691219	-1.187830687	2.475477574	1.270924274	1.058970423	1	0
ENSG00000123999.4	INHA	0.028989482	10	1	0.007764661	mashr_Brain_Putamen_basal_ganglia	0.340105802	mashr_Pituitary	7.332486282	1.32E-17	7.332486282	-1.46627804	2.66213551	1.706701081	1.253239936	1	0
ENSG00000107829.13	FBXW4	0.028991616	5	1	0.008775211	mashr_Spleen	0.117733883	mashr_Brain_Caudate_basal_ganglia	2.830577253	9.60E-17	2.830577253	1.564356446	2.620689631	1.827213979	0.446992972	1	0
ENSG00000125818.17	PSMF1	0.029085249	10	1	0.018062178	mashr_Brain_Caudate_basal_ganglia	0.736057603	mashr_Brain_Amygdala	8.522808208	3.56E-17	8.522808208	0.337078661	2.364341021	1.968279198	0.601753067	1	0
ENSG00000147872.9	PLIN2	0.029121253	5	1	0.061703401	mashr_Pituitary	0.916652617	mashr_Brain_Nucleus_accumbens_basal_ganglia	2.074764699	2.16E-17	2.074764699	-1.868421078	0.104651161	-1.259785473	0.8124181	1	0
ENSG00000105647.16	PIK3R2	0.029122949	3	1	0.029122949	mashr_Brain_Putamen_basal_ganglia	0.029122949	mashr_Brain_Cortex	3	2.11E-48	3	2.181818247	2.181818247	2.181818247	3.14E-16	1	0
ENSG00000160856.20	FCRL3	0.029189435	2	1	0.016837182	mashr_Pituitary	0.052253555	mashr_Spleen	1.972078462	0.027921538	1.972078462	-2.390244007	-1.941038937	-2.165641472	0.317635952	1	0
ENSG00000214491.8	SEC14L6	0.029274191	11	1	0.018695065	mashr_Brain_Anterior_cingulate_cortex_BA24	0.576142754	mashr_Brain_Substantia_nigra	8.444376545	5.13E-05	8.444376545	0.559027791	2.351556196	1.857072427	0.504689803	1	0
ENSG00000139971.15	C14orf37	0.029285094	7	1	0.033282818	mashr_Brain_Anterior_cingulate_cortex_BA24	0.344798826	mashr_Brain_Hippocampus	5.044523715	6.83E-17	5.044523715	-2.128654957	-0.944725909	-1.829341706	0.517199281	1	0
ENSG00000131849.11	ZNF132	0.029337546	11	1	0.010510742	mashr_Spleen	0.890354562	mashr_Brain_Putamen_basal_ganglia	7.107917795	6.03E-18	7.107917795	-2.558557561	0.818181813	-1.482601494	1.108281067	1	0
ENSG00000070882.12	OSBPL3	0.029338851	10	1	0.031528104	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.663409676	mashr_Spleen	4.217361493	5.01E-17	4.217361493	-1.043525546	2.150342872	0.610218446	1.453500317	1	0
